Locality Name,"Post
Code","Municipality
Name","Ward
Name",LGA,"District
Name","District
Code","Region
Name","Region
Code","Property
Count","Elector
Count"
Abbeyard,3737,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,1,1
Abbotsford,3067,Yarra City Council,Langridge,51301,Richmond,73,Northern Metropolitan,3,2603,3817
Aberfeldie,3040,Moonee Valley City Council,Buckley,55601,Essendon,28,Western Metropolitan,7,1481,2762
Aberfeldie,3040,Moonee Valley City Council,Buckley,55601,Niddrie,66,Western Metropolitan,7,21,37
Aberfeldy,3825,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,1,2
Acheron,3714,Murrindindi Shire Council,Eildon,53003,Seymour,78,Northern Victoria,4,31,57
Acheron,3714,Murrindindi Shire Council,Koriella,53006,Seymour,78,Northern Victoria,4,50,72
Adams Estate,3984,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,35,46
Addington,3352,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,27,55
Adelaide Lead,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,74,Western Victoria,8,34,65
Agnes,3962,South Gippsland Shire Council,Coastal-Promontory,53801,Gippsland South,37,Eastern Victoria,2,29,58
Aireys Inlet,3231,Surf Coast Shire Council,Anglesea,50101,Polwarth,70,Western Victoria,8,622,621
Airly,3851,Wellington Shire Council,Unsubdivided,53901,Gippsland East,36,Eastern Victoria,2,46,101
Airport West,3042,Moonee Valley City Council,Rose Hill,55603,Niddrie,66,Western Metropolitan,7,3121,5223
Albanvale,3021,Brimbank City Council,Grasslands,54201,Kororoit,44,Western Metropolitan,7,1828,3500
Albert Park,3206,Port Phillip City Council,Albert Park,51101,Albert Park,1,Southern Metropolitan,6,3163,4590
Albert Park,3206,Port Phillip City Council,Emerald Hill,51104,Albert Park,1,Southern Metropolitan,6,26,40
Alberton,3971,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,145,210
Alberton West,3971,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,39,56
